epoch,step,loss,accuracy
0.019455252918287938,10,10.0134,0.204
0.038910505836575876,20,9.8442,0.206
0.058365758754863814,30,9.2557,0.208
0.07782101167315175,40,8.1919,0.211
0.09727626459143969,50,6.4179,0.214
0.11673151750972763,60,4.4788,0.217
0.13618677042801555,70,2.4718,0.216
0.1556420233463035,80,1.6559,0.225
0.17509727626459143,90,1.3704,0.230
0.19455252918287938,100,1.1473,0.235
0.2140077821011673,110,1.0258,0.241
0.23346303501945526,120,0.7773,0.248
0.2529182879377432,130,0.7283,0.256
0.2723735408560311,140,0.6783,0.264
0.2918287937743191,150,0.6299,0.273
0.311284046692607,160,0.6099,0.283
0.33073929961089493,170,0.3909,0.294
0.35019455252918286,180,0.3281,0.305
0.36964980544747084,190,0.2388,0.317
0.38910505836575876,200,0.1555,0.330
0.4085603112840467,210,0.1251,0.343
0.4280155642023346,220,0.0944,0.357
0.4474708171206226,230,0.0858,0.371
0.4669260700389105,240,0.0711,0.385
0.48638132295719844,250,0.0841,0.399
0.5058365758754864,260,0.0712,0.412
0.5252918287937743,270,0.0737,0.425
0.5447470817120622,280,0.0776,0.437
0.5642023346303502,290,0.0778,0.448
0.5836575875486382,300,0.0657,0.458
0.603112840466926,310,0.0715,0.467
0.622568093385214,320,0.0615,0.476
0.642023346303502,330,0.0652,0.484
0.6614785992217899,340,0.0586,0.491
0.6809338521400778,350,0.0634,0.498
0.7003891050583657,360,0.0532,0.504
0.7198443579766537,370,0.0591,0.509
0.7392996108949417,380,0.0671,0.514
0.7587548638132295,390,0.0611,0.519
0.7782101167315175,400,0.0596,0.523
0.7976653696498055,410,0.0541,0.527
0.8171206225680934,420,0.0613,0.530
0.8365758754863813,430,0.0535,0.534
0.8560311284046692,440,0.0649,0.537
0.8754863813229572,450,0.0703,0.540
0.8949416342412452,460,0.0557,0.542
0.914396887159533,470,0.0451,0.544
0.933852140077821,480,0.0549,0.546
0.953307392996109,490,0.061,0.548
0.9727626459143969,500,0.0591,0.548
